,Round,TeamA_NeutralG,TeamB_NeutralG,TeamA_AvgTotBlk,TeamB_AvgTotBlk,TeamA_AvgTotOppAst,TeamB_AvgTotOppAst,TeamA_AvgTotStl,TeamB_AvgTotStl,TeamA_Seed,TeamB_Seed,TeamA_TotOppDR,TeamB_TotOppDR,TeamA_TotOppFTM,TeamB_TotOppFTM,TeamA_TotPF,TeamB_TotPF,TeamA_AvgTotFGA3,TeamB_AvgTotFGA3,TeamA_TotOppScore,TeamB_TotOppScore,TeamA_TotOppStl,TeamB_TotOppStl,TeamA_AvgTotDR,TeamB_AvgTotDR,TeamA_TotTO,TeamB_TotTO,TeamA_AvgTotFGA,TeamB_AvgTotFGA,TeamA_TotOppOR,TeamB_TotOppOR,TeamA_TotOppBlk,TeamB_TotOppBlk,TeamA_TotFTA,TeamB_TotFTA,TeamA_AvgTotOppFGA3,TeamB_AvgTotOppFGA3,TeamA_HomeL,TeamB_HomeL,TeamA_AwayL,TeamB_AwayL,TeamA_NeutralW,TeamB_NeutralW,TeamA_AvgTotFGM3,TeamB_AvgTotFGM3,TeamA_TotL,TeamB_TotL,TeamA_TotOppPF,TeamB_TotOppPF,TeamA_TotStl,TeamB_TotStl,TeamA_TotOppFGA,TeamB_TotOppFGA,TeamA_TotOppAst,TeamB_TotOppAst,TeamA_TotFTM,TeamB_TotFTM,TeamA_TotAst,TeamB_TotAst,TeamA_NeutralL,TeamB_NeutralL,TeamA_TotBlk,TeamB_TotBlk,TeamA_TotOppFGA3,TeamB_TotOppFGA3,TeamA_HomeW,TeamB_HomeW,TeamA_AvgTotAst,TeamB_AvgTotAst,TeamA_AvgTotOppOR,TeamB_AvgTotOppOR,TeamA_AvgTotOppStl,TeamB_AvgTotOppStl,TeamA_AvgTotOppFGA,TeamB_AvgTotOppFGA,TeamA_TotOppFTA,TeamB_TotOppFTA,TeamA_TotDR,TeamB_TotDR,TeamA_AvgTotOppBlk,TeamB_AvgTotOppBlk,TeamA_TotOppFGM3,TeamB_TotOppFGM3,TeamA_TotOppFGM,TeamB_TotOppFGM,TeamA_AwayW,TeamB_AwayW,TeamA_AvgTotOppFGM3,TeamB_AvgTotOppFGM3,TotFGM3_diff,TotFGM3_ratio,TotFGA3_diff,TotFGA3_ratio,TotOR_diff,TotOR_ratio,TotOppTO_diff,TotOppTO_ratio,TotG_diff,TotG_ratio,AvgTotFTM_diff,AvgTotFTM_ratio,AvgTotFTA_diff,AvgTotFTA_ratio,AvgTotOR_diff,AvgTotOR_ratio,AvgTotTO_diff,AvgTotTO_ratio,AvgTotPF_diff,AvgTotPF_ratio,AvgTotOppScore_diff,AvgTotOppScore_ratio,AvgTotOppFGM_diff,AvgTotOppFGM_ratio,AvgTotOppFTA_diff,AvgTotOppFTA_ratio,AvgTotOppTO_diff,AvgTotOppTO_ratio,AvgTotOppPF_diff,AvgTotOppPF_ratio,TotScore_ratio,TotFGM_ratio,TotFGA_ratio,TotW_ratio,WinPct_ratio,AvgTotScore_ratio,AvgTotFGM_ratio,AvgTotOppFTM_ratio,AvgTotOppDR_ratio,Seed_diff,TeamA_Result,Round * TeamA_Seed,Round * Seed_diff
0,0,1,4,3.0,2.2,15.9,13.8,7.1,6.4,16,16,662,686,442,359,554,549,18.0,18.5,2275,2125,256,240,23.2,24.8,470,457,56.8,55.3,398,358,123,78,607,842,20.8,23.2,2,3,14,8,1,3,6.5,5.9,16,12,542,649,205,193,1768,1812,460,413,463,522,378,426,0,1,87,67,602,695,10,11,13.0,14.2,13.7,11.9,8.8,8.0,61.0,60.4,654,562,672,744,4.2,2.6,221,226,806,770,2,4,7.6,7.5,10,1.0561797752808988,-33,0.9405405405405406,-39,0.9012658227848102,-58,0.8651162790697674,-1,0.9666666666666667,-1.3999999999999986,0.9195402298850576,-7.200000000000003,0.7437722419928825,-0.8999999999999986,0.9318181818181819,1.0,1.0657894736842106,0.8000000000000007,1.0437158469945356,7.6000000000000085,1.1073446327683618,2.1000000000000014,1.0817120622568095,3.900000000000002,1.2085561497326205,-1.5,0.8951048951048951,-2.900000000000002,0.8657407407407407,0.9455128205128205,0.9528301886792453,0.9933655006031363,0.7222222222222222,0.7471264366666668,0.9780219780219781,0.9878542510121457,1.2666666666666666,0.9956331877729259,0,1,0,0
1,1,6,4,3.8,2.9,10.5,12.1,6.9,8.0,1,16,672,636,376,483,558,622,19.0,15.5,1805,2138,155,291,25.0,24.3,354,584,56.5,54.4,312,427,80,95,558,774,13.6,21.2,1,2,3,7,4,3,7.5,5.2,6,10,526,652,208,240,1601,1738,314,362,395,541,425,308,2,1,113,87,407,636,15,8,14.2,10.3,10.4,14.2,5.2,9.7,53.4,57.9,559,735,749,728,2.7,3.2,133,215,648,720,5,9,4.4,7.2,69,1.4451612903225806,105,1.2262931034482758,-25,0.9357326478149101,-111,0.7873563218390804,0,1.0,-4.800000000000001,0.7333333333333333,-7.199999999999999,0.7209302325581396,-0.9000000000000004,0.9307692307692308,-7.699999999999999,0.6051282051282052,-2.099999999999998,0.8985507246376813,-11.099999999999994,0.844319775596073,-2.3999999999999986,0.9,-5.899999999999999,0.7591836734693879,-3.6999999999999993,0.7873563218390804,-4.199999999999999,0.8064516129032259,0.9775641025641025,1.0188172043010753,1.0398528510116494,1.2,1.1999999994000001,0.9780219780219781,1.0201612903225807,0.7763975155279502,1.0566037735849056,-15,1,1,-15
2,1,5,1,3.9,3.0,11.2,15.9,6.4,7.1,1,16,616,662,388,442,570,554,16.8,18.0,1923,2275,195,256,26.1,23.2,376,470,62.4,56.8,362,398,88,123,666,607,17.6,20.8,0,2,4,14,3,1,5.9,6.5,6,16,573,542,179,205,1658,1768,314,460,476,463,406,378,2,0,108,87,494,602,14,10,14.5,13.0,12.9,13.7,7.0,8.8,59.2,61.0,589,654,732,672,3.1,4.2,171,221,682,806,5,2,6.1,7.6,-24,0.8723404255319149,-52,0.9003831417624522,97,1.2724719101123596,25,1.0672043010752688,-1,0.9655172413793104,1.0,1.0625,2.900000000000002,1.1387559808612442,3.8999999999999986,1.3170731707317072,-2.799999999999999,0.8271604938271605,1.2999999999999972,1.0680628272251307,-9.700000000000003,0.8762755102040816,-3.400000000000002,0.8776978417266186,-1.6000000000000014,0.9292035398230087,1.3999999999999986,1.1093749999999998,1.8000000000000007,1.0962566844919786,1.0692493946731234,1.108910891089109,1.0613236187006678,1.6923076923076923,1.7527472536542688,1.1081460674157304,1.1475409836065575,0.9144736842105263,0.9649122807017544,-15,1,1,-15
3,1,8,6,5.1,1.8,10.8,16.1,7.8,8.2,1,16,639,691,394,403,556,619,16.6,18.6,2051,2253,198,216,24.2,20.9,450,509,58.4,53.9,358,338,113,121,665,724,17.6,18.5,1,3,1,8,7,4,5.9,6.5,3,13,590,643,250,262,1785,1718,344,515,470,508,518,428,1,2,163,58,564,591,12,8,16.2,13.4,11.2,10.6,6.2,6.8,55.8,53.7,578,594,773,669,3.5,3.8,185,212,736,819,10,7,5.8,6.6,-19,0.9086538461538461,-64,0.892436974789916,38,1.1016042780748663,-12,0.9777365491651205,0,1.0,-1.200000000000001,0.9245283018867924,-1.8000000000000007,0.9203539823008849,1.200000000000001,1.1025641025641026,-1.8000000000000007,0.8867924528301886,-1.9000000000000021,0.9015544041450776,-6.300000000000011,0.9105113636363635,-2.6000000000000014,0.8984375,-0.5,0.9731182795698925,-0.3000000000000007,0.9821428571428571,-1.7000000000000028,0.9154228855721391,1.0881578947368422,1.1649616368286444,1.0828505214368482,1.5263157894736843,1.5263157894736843,1.0869565217391304,1.168032786885246,0.9761904761904763,0.9259259259259258,-15,1,1,-15
4,1,1,5,4.2,3.0,15.5,13.3,8.5,6.9,1,16,652,634,314,306,497,461,20.1,15.5,1967,1831,167,206,27.6,25.7,414,408,65.7,55.9,367,278,67,106,700,567,20.0,21.4,1,1,1,7,0,3,7.0,5.3,3,10,618,520,237,199,1811,1597,433,385,491,373,494,412,1,2,118,86,559,622,14,9,17.6,14.2,13.1,9.6,6.0,7.1,64.7,55.1,496,457,774,746,2.4,3.7,177,205,738,660,11,7,6.3,7.1,44,1.2875816993464053,113,1.2516703786191536,49,1.1303191489361701,95,1.2519893899204244,-1,0.9655172413793104,4.6,1.3565891472868217,5.399999999999999,1.2755102040816326,2.1999999999999993,1.169230769230769,0.7000000000000011,1.0496453900709222,1.9000000000000004,1.119496855345912,7.199999999999996,1.1141045958795561,3.599999999999998,1.157894736842105,1.8999999999999986,1.120253164556962,3.8999999999999986,1.2999999999999998,4.200000000000003,1.23463687150838,1.2136317395727365,1.1791666666666667,1.1358024691358024,1.3157894736842106,1.362781954674911,1.256637168141593,1.221774193548387,1.0566037735849056,1.0639269406392695,-15,1,1,-15
5,1,2,4,4.4,5.3,12.5,16.9,6.4,10.7,2,15,561,608,372,412,536,527,17.7,15.2,1961,2092,214,224,26.9,24.0,438,506,57.2,61.4,361,374,94,121,772,670,22.3,19.9,0,2,4,8,1,4,6.1,5.2,5,10,639,555,186,289,1733,1687,363,456,581,495,423,379,1,0,127,142,646,536,16,8,14.6,14.0,12.4,13.9,7.4,8.3,59.8,62.5,541,566,781,649,3.2,4.5,217,192,686,744,7,5,7.5,7.1,36,1.2553191489361701,104,1.2536585365853659,50,1.1322751322751323,-115,0.7745098039215687,2,1.0740740740740742,1.6999999999999993,1.0928961748633879,1.8000000000000007,1.0725806451612903,0.8000000000000007,1.0571428571428572,-3.5999999999999996,0.8074866310160428,-1.0,0.9487179487179487,-9.900000000000006,0.872258064516129,-3.900000000000002,0.858695652173913,-2.3000000000000007,0.8904761904761904,-5.299999999999999,0.7195767195767196,1.3999999999999986,1.0679611650485437,1.0566914498141264,1.0,1.0012062726176116,1.411764705882353,1.3144016221091754,0.9836888331242158,0.9288256227758007,0.8366013071895425,0.8577777777777779,-13,1,2,-13
6,1,5,1,4.1,5.6,14.5,14.9,7.8,7.8,2,15,674,595,323,401,524,529,22.1,18.1,2005,1762,201,190,24.3,26.0,415,424,56.5,53.4,371,360,106,69,587,635,17.7,17.3,1,0,3,5,2,0,8.7,6.5,7,6,540,521,241,211,1775,1565,450,402,414,451,509,421,3,1,127,151,550,468,15,14,16.4,15.6,12.0,13.3,6.5,7.0,57.3,58.0,496,585,752,701,3.4,2.6,180,147,751,607,7,7,5.8,5.4,94,1.5371428571428571,198,1.4057377049180328,44,1.1512027491408934,65,1.1616915422885572,4,1.1481481481481481,-3.299999999999999,0.8023952095808384,-4.600000000000001,0.8042553191489361,0.0,1.0,-2.299999999999999,0.8535031847133758,-2.700000000000003,0.8622448979591836,-0.5999999999999943,0.990811638591118,1.6999999999999993,1.0755555555555556,-5.699999999999999,0.7373271889400922,0.1999999999999993,1.0134228187919463,-1.9000000000000021,0.9015544041450776,1.214138286893705,1.2728658536585367,1.215822345593338,1.1428571428571428,0.9953917042870308,1.0571030640668524,1.1069958847736625,0.697986577181208,0.9863636363636363,-13,1,2,-13
7,1,3,0,4.1,2.8,11.1,14.0,8.1,7.5,2,15,592,662,380,389,539,545,17.8,18.3,1765,2215,184,232,25.4,22.4,453,464,53.5,57.7,309,339,98,81,684,598,17.4,16.3,0,1,4,9,3,0,6.4,7.0,4,10,601,583,242,233,1601,1775,333,434,435,436,533,499,0,0,123,87,523,506,16,14,17.8,16.1,10.3,10.9,6.1,7.5,53.4,57.3,552,539,761,693,3.3,2.6,157,190,614,818,7,7,5.2,6.1,-27,0.8761467889908257,-35,0.9383802816901409,-33,0.9112903225806451,6,1.0125260960334028,-1,0.967741935483871,0.40000000000000036,1.0283687943262412,3.5,1.1813471502590673,-0.6999999999999993,0.9416666666666668,0.09999999999999964,1.0066666666666666,0.3999999999999986,1.0227272727272727,-12.700000000000003,0.8223776223776224,-5.899999999999999,0.7765151515151516,1.0,1.0574712643678161,0.6999999999999993,1.0451612903225806,1.1999999999999993,1.0638297872340425,0.955593509820666,0.9549763033175356,0.8976510067114094,1.2380952380952381,1.2793650795525322,0.9880794701986754,0.988970588235294,1.016,0.9205607476635514,-13,1,2,-13
8,1,7,5,4.9,2.0,11.9,11.2,10.1,5.1,2,15,675,571,316,310,501,483,14.1,12.1,1991,1803,205,150,26.9,22.4,447,367,62.3,51.9,346,274,132,63,724,607,18.3,16.9,1,2,2,6,3,5,4.8,4.0,7,8,600,528,304,152,1816,1524,357,337,482,436,502,417,4,0,147,60,550,506,13,11,16.7,13.9,11.5,9.1,6.8,5.0,60.5,50.8,458,445,807,671,4.4,2.1,199,173,738,660,7,6,6.6,5.8,23,1.1900826446280992,60,1.164835164835165,50,1.1319261213720317,148,1.398921832884097,0,1.0,1.6000000000000014,1.110344827586207,3.900000000000002,1.1930693069306932,1.700000000000001,1.134920634920635,2.700000000000001,1.2213114754098362,0.5999999999999979,1.0372670807453415,6.300000000000004,1.1048252911813645,2.6000000000000014,1.1181818181818182,0.5,1.0337837837837838,4.9,1.3951612903225807,2.3999999999999986,1.1363636363636362,1.2329459322890348,1.2756680731364276,1.199614890885751,1.0454545454545454,1.0454545463842975,1.2318181818181817,1.2742616033755274,1.0194174757281553,1.1842105263157894,-13,1,2,-13
9,1,3,5,7.3,3.9,15.9,11.7,8.3,9.2,3,14,646,668,364,501,481,636,15.9,15.8,2027,1965,192,204,26.9,23.3,395,412,62.2,57.6,458,366,91,126,685,693,22.6,13.6,0,2,3,3,1,4,5.2,5.5,5,6,572,600,241,266,1874,1607,461,339,475,545,434,402,2,1,211,113,655,395,17,7,15.0,13.9,15.8,12.6,6.6,7.0,64.6,55.4,548,692,780,676,3.1,4.3,201,126,731,669,6,12,6.9,4.3,-8,0.95,1,1.0021786492374727,87,1.2652439024390243,-95,0.8151750972762646,0,1.0,-2.400000000000002,0.8723404255319148,-0.29999999999999716,0.98744769874477,3.0,1.2654867256637168,-0.5999999999999996,0.9577464788732395,-5.299999999999997,0.7579908675799087,2.1000000000000085,1.0309734513274338,2.099999999999998,1.0909090909090908,-5.0,0.7907949790794979,-3.299999999999999,0.8135593220338984,-1.0,0.9516908212560387,1.0516070620190132,1.127659574468085,1.0808867585380468,1.0434782608695652,1.043478261362949,1.0511811023622046,1.1274131274131274,0.7283236994219653,0.9695652173913044,-11,1,3,-11
